Huffman Coding Result Report:
-----------------------------
Index	Symbol	Frequency	Length	Code
1	0	0.08888888888888889	3	110
2	 	0.08888888888888889	3	111
3	4	0.07777777777777778	4	0001
4	1	0.07777777777777778	4	0010
5	c	0.06666666666666667	4	0110
6	s	0.06666666666666667	4	0111
7	n	0.06666666666666667	4	0100
8	7	0.05555555555555555	4	1001
9	3	0.05555555555555555	4	1010
10	r	0.05555555555555555	4	1011
11	m	0.03333333333333333	5	00111
12	d	0.03333333333333333	5	10000
13	,	0.03333333333333333	5	10001
14	b	0.03333333333333333	5	01010
15	L	0.022222222222222223	6	001100
16	a	0.022222222222222223	6	001101
17	.	0.011111111111111112	6	010111
18	T	0.011111111111111112	7	0101100
19	p	0.011111111111111112	7	0101101
20	u	0.011111111111111112	7	0000010
21	g	0.011111111111111112	7	0000011
22	l	0.011111111111111112	7	0000000
23	R	0.011111111111111112	7	0000001
24	P	0.011111111111111112	7	0000110
25	i	0.011111111111111112	7	0000111
26	v	0.011111111111111112	7	0000100
27	f	0.011111111111111112	7	0000101
-----------------------------
Expected Length = 4.399999999999999
Entropy = 4.362066814621324
